,SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,ANNUAL,target
110,0,2016,87.8,198.9,1562.6,1002.6,12.61124,92.83165,2851.9,0
111,0,2017,234.3,417.1,1526.0,712.5999999999997,12.61124,92.83165,2890.0,0
112,1,1916,117.9,811.8000000000003,2435.563779904305,153.7402553378286,28.093770000000006,94.59213,3519.004035242135,0
113,1,1917,185.9,404.8955034680698,2772.8,262.8,28.093770000000006,94.59213,3626.395503468071,0
114,1,1918,21.4,1196.9,4121.3,146.7,28.093770000000006,94.59213,5486.3,0
115,1,1919,102.3,706.0,2888.0,997.6,28.093770000000006,94.59213,4693.9000000000015,0
116,1,1920,210.3,1143.9,2649.2,103.3,28.093770000000006,94.59213,4106.7,0
117,1,1921,133.2,1136.3,4155.5,266.4,28.093770000000006,94.59213,5691.4,0
118,1,1922,110.1,820.4,2723.9,532.8,28.093770000000006,94.59213,4187.2,0
119,1,1923,170.20000000000005,720.3,2555.7,61.3,28.093770000000006,94.59213,3507.5,0
120,1,1924,130.8,752.2,3232.3,335.2,28.093770000000006,94.59213,4450.5,0
121,1,1925,194.6,953.5,3129.3,162.39999999999995,28.093770000000006,94.59213,4439.8,0
122,1,1926,78.9,676.9,2386.4,379.4,28.093770000000006,94.59213,3521.6,0
123,1,1927,256.8,636.1,3805.3,555.0,28.093770000000006,94.59213,5253.200000000002,0
124,1,1928,88.6,673.5,3849.2,661.4,28.093770000000006,94.59213,5272.700000000002,0
125,1,1929,204.0,1232.4,2521.7000000000007,362.0,28.093770000000006,94.59213,4320.1,0
126,1,1930,148.7,916.8,2789.6,479.2,28.093770000000006,94.59213,4334.299999999998,0
127,1,1931,251.0,1012.0,3367.7,241.4,28.093770000000006,94.59213,4872.099999999999,0
128,1,1932,180.5,1049.8,3177.1,443.5,28.093770000000006,94.59213,4850.899999999999,0
129,1,1933,115.4,804.8,2586.6,266.6,28.093770000000006,94.59213,3773.4,0
130,1,1934,173.2,1177.9,2984.0,240.5,28.093770000000006,94.59213,4575.6,0
131,1,1935,161.7,680.8,3237.4,93.6,28.093770000000006,94.59213,4173.499999999999,0
132,1,1936,281.1,822.0999999999997,3218.6000000000013,466.9,28.093770000000006,94.59213,4788.700000000002,0
133,1,1937,125.5,751.2,2224.6,273.8,28.093770000000006,94.59213,3375.1,0
134,1,1938,266.4,1042.3,4534.5,285.9000000000001,28.093770000000006,94.59213,6129.100000000001,0
135,1,1939,154.1,815.4000000000003,2757.6,171.49999999999997,28.093770000000006,94.59213,3898.6,0
136,1,1940,181.2,996.2,2710.8,211.3,28.093770000000006,94.59213,4099.5,0
137,1,1941,139.1,1055.7,2870.2,155.20000000000005,28.093770000000006,94.59213,4220.2,0
138,1,1942,180.7,1169.1,2436.6,41.9,28.093770000000006,94.59213,3828.299999999999,0
139,1,1943,210.8,1265.5,2629.100000000001,221.2,28.093770000000006,94.59213,4326.6,0
140,1,1944,140.1,972.9,2383.0,408.3,28.093770000000006,94.59213,3904.3,0
141,1,1945,151.2,800.2,2480.1,217.7,28.093770000000006,94.59213,3649.2,0
142,1,1946,75.0,1011.2,2679.9,245.1,28.093770000000006,94.59213,4011.2,0
143,1,1947,106.3,1113.1999999999996,2816.9,332.7,28.093770000000006,94.59213,4369.099999999999,0
144,1,1948,155.1,1745.8,4206.0,224.2,28.093770000000006,94.59213,6331.099999999999,0
145,1,1949,168.2,1291.5,3100.5,314.6,28.093770000000006,94.59213,4874.8,0
146,1,1950,131.4,905.2,1135.2477044476325,449.4,28.093770000000006,94.59213,2621.247704447633,0
147,1,1951,97.1,1095.4,1974.7,187.1,28.093770000000006,94.59213,3354.3,0
148,1,1952,41.7,576.2,1446.7,331.49999999999994,28.093770000000006,94.59213,2396.1,0
149,1,1953,163.3,765.8,1617.5,129.11471291866044,28.093770000000006,94.59213,2675.714712918661,0
150,1,1957,40.54214573899,723.1955034680698,2875.9,204.3,28.093770000000006,94.59213,3843.93764920706,0
151,1,1958,165.9,870.0,3338.7,688.9,28.093770000000006,94.59213,5063.5,0
152,1,1959,221.1,922.7,2792.6,259.1,28.093770000000006,94.59213,4195.5,0
153,1,1960,34.8,401.0,3236.8,36.8,28.093770000000006,94.59213,3709.400000000001,0
154,1,1961,254.2,962.9,2137.9,321.5,28.093770000000006,94.59213,3676.5,0
155,1,1962,124.3,897.3,3475.200000000001,314.02554241916823,28.093770000000006,94.59213,4810.825542419168,0
156,1,1963,49.8,777.6,3138.5,172.1,28.093770000000006,94.59213,4138.0,0
157,1,1964,145.7,587.1999999999998,3896.1,330.2999999999999,28.093770000000006,94.59213,4959.299999999998,0
158,1,1965,158.1,665.0,1244.7,129.0,28.093770000000006,94.59213,2196.8,0
159,1,1966,113.9,456.5,1515.1,124.2,28.093770000000006,94.59213,2209.7000000000007,0
160,1,1967,58.8,408.5,1121.2,80.0,28.093770000000006,94.59213,1668.5,0
161,1,1968,95.6,560.7,1385.9,96.7,28.093770000000006,94.59213,2138.9,0
162,1,1969,29.2,363.1,1392.7000000000005,92.79999999999998,28.093770000000006,94.59213,1877.8,0
163,1,1970,128.0,379.6,1320.3000000000004,145.5,28.093770000000006,94.59213,1973.4,0
164,1,1971,123.8,391.3,1359.3,310.2,28.093770000000006,94.59213,2184.600000000001,0
165,1,1972,153.4,639.3,1357.9,130.7,28.093770000000006,94.59213,2281.3,0
166,1,1973,283.5,554.1,1385.5,234.50000000000003,28.093770000000006,94.59213,2457.6,0
